编号,企业名称,股票简称,上市公司行业,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,招聘发布日期,招聘结束日期,预测行业
3955,上海安谱实验科技股份有限公司,聚光科技,仪器仪表制造业,松江-数据分析与处理实习生,上海,2936.0,2936.0,岗位职责： 1.协助实验数据的录入、整理与初步分析，生成可视化图表或报告。 2.参与实验室文档、样本信息的数字化归档与管理。 3.协助进行投标文件的最终审核、打印、封装等准备工作。 4.负责对接公司用印流程，按照规范完成标书及相关文件的盖章、扫描、归档工作。 5.协助处理部门其他临时性行政事务，如会议纪要整理、费用单据归类等。 任职资格： 1.学历背景:本科及以上学历，化学、生物、环境、统计、信息管理等相关专业优先。 2.细心严谨:对数字敏感，擅长发现细节问题，能高效核对信息，避免疏漏。 3.主动踏实:愿意学习实验室流程，配合团队完成基础事务，责任心强。 4.优先考虑上海本地高校学生或居住地靠近公司者，确保实习期间出勤稳定。 5.能保证至少5个月以上一周5天的实习期 地址：上海市松江区叶榭镇叶合路59弄 上班时间：8:30-5:00（中午休息半小时）,本科,经验不限,石油/化工/矿产/地质,2026-01-22,2026-03-22,金融
3956,武汉精测电子集团股份有限公司,精测电子,仪器仪表制造业,资深算法工程师/专家（AI）(J11791),武汉,22000.0,40000.0,工作职责: 1.探索AI在工业制造领域的前沿算法研究，与产品研发合作，将算法工程化、产品化，为工业制造领域提质、降本、增效 2.业务方向包括且不局限于:显示面板Gamma调节、显示面板mura缺陷检测与修复、3C及新能源行业外观缺陷检测、半导体晶圆缺陷检测等 3.研究方向包括且不局限于:深度学习、表征学习、模型蒸馏、多任务多目标学习、零样本少样本异常检测、小尺度目标检测、细粒度目标分类等，结合业务中实际问题进行相关方向探索和研究 4.和产品、研发团队紧密合作，通过对行业和产品的深入理解分析，规划业务算法发展方向 任职资格: 1.计算机、电子信息工程、控制、数学、统计等相关专业， 2.熟练的掌握C/C++/MATLAB/Python中至少一门开发语言，具备优秀的编码能力，扎实的算法功底，熟悉主流深度学习框架（如PyTorch） 3.有实际落地产品或项目迭代优化经验，熟悉全链路优化如数据清洗、特征工程、网络结构优化、loss设计、指标设计，或对某一阶段有深入理解、研究 4.加分项： a)在相关领域有研究成果或发表过论文 b)有大规模项目经验，如工业制造领域，互联网领域搜索、广告、推荐等。,硕士,5年及以上,电子技术/半导体/集成电路,2026-03-04,2026-05-04,生产制造/汽车
3957,煜邦数字科技（广东）有限公司,煜邦电力,仪器仪表制造业,电力先进计算应用研究岗,广州,25000.0,33333.0,南方电网正式编制员工 工作职责： 1.负责开展先进未来计算技术及产品在电力系统中的应用研究、产品推广等工作； 2.负责申报和实施相关技术领域的重点攻关科技项目； 3.负责相关技术领域的国际、国家、行业等标准的策划及制定； 4.负责相关技术领域的科技项目策划申报、项目管理及实施交付； 5.完成领导交办的其它工作。 学历要求： 1.学历要求：硕士研究生及以上学历。 2.专业要求：电气类、能源动力类、控制科学与工程类、电子信息类、自动化类、信息与通信工程类、电子科学与技术类等相关专业。或具备1年发电技能、输电技能、调度技能、通信技能、信息技能工作经历。 3.年龄要求：一般不超过40周岁。 4.绩效要求：近3年个人年度绩效考核结果均不得为不及格。 5.工作经历：最高学历为博士研究生的毕业后工作应满1年、硕士研究生的毕业后工作应满2年、本科毕业后工作满3年，或具有高级及以上职称。 工作要求： 1.工作经验：具有重点攻关科技项目的申报、执行的经验或能力优先。 2.能力要求： （1）熟悉并掌握电力系统专业知识与新型电力系统相关理论； （2）熟悉并掌握熟悉并掌握国家、电力行业以及各大发电集团在先进新型计算、未来产业领域的发展规划、政策趋势、发展趋势优先； （3）熟悉先进计算、电网数字化、电力系统人工智能应用等关键技术及上下游技术的创新发展趋势优先； （4）精通项目管理，善于沟通，有良好的协调、协作能力，具有组建、管理业务、运营相关团队的经验； （5）业务沟通能力强，具有客户拓展经验，能够独立开展市场、客户调研，可以根据复杂的场景梳理出产品需求，组织编写调研文档、需求规范说明书等； （6）逻辑思维能力强，数字敏感性高，具备数据分析能力，善于分析总结解决问题，文字表达能力强； （7）工作积极主动，具备较强的责任心和原则性，具有良好的学习能力和抗压能力。,硕士,2年及以上,计算机软件,2026-02-09,2026-04-09,销售/市场/客服
3958,南京新联电子股份有限公司,新联电子,仪器仪表制造业,质量管理工程师,南京,8000.0,12000.0,岗位职责 1、体系认证管理：负责ISO 9001质量管理体系的建立、维护与持续改进，组织内外部审核及认证工作 2、全流程质量管控：熟悉电子类生产型企业生产、检验、研发全流程，制定并优化各环节质量控制标准与作业规范 3、仪器仪表管理：负责计量器具、检测设备的台账管理、校准计划制定、年度计量确认及外审对接 4、质量问题处理：主导来料、制程、成品质量异常的分析与改进，推动纠正预防措施落地 5、供应商质量管理：参与供应商评审，监控来料质量数据，推动供应链质量提升 任职要求 1、大专及以上学历，电子、自动化、质量管理等相关专业 2、3年以上电子制造业质量管理工作经验，熟悉PCBA、电子元器件或仪器仪表类产品生产工艺 4、熟悉仪器仪表管理规范，能独立完成计量器具校准计划、MSA分析及年审应对 5、熟悉研发/生产/检验全流程质量控制要点，具备PPAP、FMEA、SPC等工具应用能力 6、具备较强的数据分析能力、跨部门沟通协调能力及问题解决能力 7、持有质量管理体系内审员证书（CCAA注册审核员优先） 8、精通ISO 9001质量管理体系，有独立主导体系认证、年审实战经验，熟悉IATF 16949或ISO 13485者优先。。详见官网：,大专,3年及以上,电子技术/半导体/集成电路,2026-03-03,2026-05-03,生产制造/汽车
3959,南京茂莱光学科技股份有限公司,茂莱光学,仪器仪表制造业,售后工程师,南京,7000.0,10000.0,1.负责整机设备的售后技术支持，包括安装、调试、升级及维修工作等。 2.及时响应客户需求，与客户建立良好沟通。 3.协助项目经理及项目leader解决客户提出的需求和问题。 4.提供客户关于整机设备的技术培训，包括使用说明，注意事项及安全规范等。 5.收集客户提出的整改建议和问题点，为整机设备优化积累方案。 岗位要求： 1.本科及以上学历，机械、自动化、机电一体化等相关专业优先。 2.有非标设备装调经验者或有售后服务工作经验者优先。 3.能够适应出差。 4.良好的沟通能力和较强的执行力，责任心强，有团队协助精神。,本科,2年及以上,仪器仪表/工业自动化,2026-02-28,2026-04-28,销售/市场/客服
3960,深圳市步科电气有限公司,步科股份,仪器仪表制造业,高级行政专员,常州,7500.0,8500.0,【工作内容】： 1. 负责重点客户接待的策划和执行，提升客户满意度与体验度； 2. 负责公司各类资质申请、变更、年检等事项，组织项目申报、政府事务与社会关系对接等公共关系管理； 3. 负责大型活动及各类会议的筹备、组织和服务保障； 4. 公司企业文化福利活动的执行与宣传推广； 5. 执行行政采购与供应商管理，其他协助部门工作目标达成。 【任职要求】 1. 统招本科及以上学历，行政管理、工商管理等相关专业； 2. 有刊文、公众号编辑应用能力。 备注：有英语口语能力优先考虑。,本科,3年及以上,仪器仪表/工业自动化,2026-01-05,2026-03-05,销售/市场/客服
3961,上海精测半导体技术有限公司,精测电子,仪器仪表制造业,硬件测试工程师,上海,10000.0,15000.0,【岗位职责】 1、电路板或电子设备的测试、并做测试记录 2、完成电路模块的装配， 3、简单的故障诊断， 4、必要的电子元器件焊接 【岗位要求】 1、大专及以上学历， 2、电子技术相关的专业毕业 3、熟悉常见的电子元器件的电路特点 4、会使用基础的电子测量仪器如万用表和示波器等。 5、有一定的英语能力 6、仔细认真，遵守操作规范。,大专,10年及以上,电子技术/半导体/集成电路,2026-02-28,2026-04-28,销售/市场/客服
3962,苏州精濑光电有限公司,精测电子,仪器仪表制造业,测试工程师(J12020),苏州,6000.0,9000.0,"工作职责: 1、根据电气图纸和系统设置说明书，完成测试设备的硬件系统设置任务，包含IP地址，仪器配置，电脑配置，电脑软件安装等； 2、根据硬件调试说明完成硬件链路确认，确认硬件链路是否正确； 3、确认硬件链路正确后，根据硬件调试说明,完成产品的初步调试确认； 4、负责厂内及客户端测试过程中遇到的异常问题进行分析处理； 5、总结调试经验及相关问题处理方法，推动研发形成标准的技术文件； 6、结合测试需求及操作方法要求，编写作业流程及相关SOP，并对相关人员做培训。 任职资格: 1、大专及以上学历，电气、自动化相关专业。 2、熟悉常用测试仪器的使用，包括但不限于程控电源，示波器，数字万用表等。 3、了解汽车电子常用通讯协议，包括但不限于CAN,LIN，RS232,TCP等。 4、强烈的责任心和团队协作精神，具备较好的沟通协调能力。",大专,1年及以上,仪器仪表/工业自动化,2026-02-26,2026-04-26,生产制造/汽车
3963,深圳市科陆电子科技股份有限公司,科陆电子,仪器仪表制造业,海外售后中级工程师-X9361H,深圳,18000.0,25000.0,岗位职责： 1. 服务商筛选与评估： 策划和执行服务商的评估流程，确保服务商符合公司标准，并能提供高质量的产品和服务。 2. 供应商合同谈判：主导与服务商的合同谈判，制定合理的合同条款，确保双方权益得到保障。 3. 合作关系管理：建立战略伙伴关系，与服务商保持密切沟通，确保对方充分理解公司期望，推动合作关系的长期成功。 4. 服务商管理：管理服务商的绩效，包括定期评估其产品和服务质量，提出改进建议，确保符合公司标准。 5. 派单管理： 负责合理派发任务给服务商，确保按照公司标准和客户需求派发工作。 6. 客户支持：负责处理客户的售后服务请求，提供技术支持和解决方案，确保客户问题及时得到解决。 7. 售后质保服务：管理并执行售后质保服务，监督产品质量，确保符合公司标准，并提供相应的售后保修服务。 8. 客户续保管理：负责客户质保续保事务，与客户沟通续保事宜，确保客户享受延长的售后服务期限。 9. 备件采购合同洽谈：主导备件采购合同的洽谈过程，与供应商协商合同条件，确保备件采购符合公司标准和客户需求。 10. 客诉纠纷处理：负责处理客户投诉和纠纷，通过专业、耐心的沟通解决问题，确保客户对公司的信任度。 任职资格： 1. 本科及以上学历，优先考虑工程、电气工程等相关专业。 2. 至少2年相关领域的售后或客户商务服务经验，有电力能源行业经验者优先。 3. 具备一定的技术背景，理解电力系统和能源存储领域的基本原理。 4. 有团队管理经验者优先，能够有效领导团队实现客户服务目标。,本科,5年及以上,新能源,2026-01-21,2026-03-21,销售/市场/客服
3964,无锡信捷电气股份有限公司,信捷电气,仪器仪表制造业,硬件工程师（数字）(J10602),无锡,13000.0,18000.0,工作职责: 1.负责客户需求评估（客户定制）、产品方案设计、原理图（PCB）设计等产品全生命周期开发； 2.负责从质量、设计可靠性等维度参与产品生产工艺制程的评估与改进建议； 3.负责部门技术路线图的执行落地和产品转化； 4.负责CBB设计开发和入库评审； 5.负责开发设计过程中文档编写、整理、评审； 6.负责产品工艺改进、质量优化、设计优化等产品维护工作。 任职资格: 1.统招本科及以上学历，通信工程、电子信息工程、电子科学与技术、自动化等电子类相关专业，有2年以上硬件开发经验； 2.具备处理复杂系统的开发设计能力（Soc、MPU级复杂系统）； 2.熟悉高速信号设计、仿真、测试（DDR、PCIe、LMVDS、LVDS、USB、HDMI等）； 3.具有扎实的数电、模电、电路、信号与系统等电子类硬件理论知识； 4.良好的万用表、示波器、电烙铁，信号发生器、负载仪等便件测试设备使用能力； 5.具备良好的语言麦达能力、逻辑思维能力、新事物学习与适应能力、良好的自驱力和上进心。 详见官网：,本科,2年及以上,仪器仪表/工业自动化,2026-02-27,2026-04-27,生产制造/汽车
3965,梦百合家居科技股份有限公司,梦百合,家具制造业,网红营销(J11946),上海,8000.0,15000.0,工作职责: 1. 负责挖掘和搭建美国市场的KOL、KOC达人资源库，并与适配达人洽谈合作，并确保合作关系的顺利进行。 2. 针对不同平台达人特点，与达人共同制定创意和内容方案，全程把控内容质量，确保内容符合品牌调性，并为转化效果负责； 3. 监督网红营销活动的执行进度，包括但不限于合同签署、寄样、物流追踪、结算等工作； 4. 收集和分析营销活动的数据，包括曝光量、点击率、转化率、ROI等指标，提炼产出SOP并持续优化内容策略，提升推广效果； 5. 持续关注美国红人市场的发展动态和营销趋势，包括社会热点话题及趋势，及时调整和优化达人营销策略。 任职资格: 1. 本科及以上学历，良好的英语读写能力，可将英语作为工作语言。 2. 有1+年外贸公司或Agency/MCN相关工作经验者优先，了解欧美流行文化、有海外留学经历者优先。 3. 熟悉Instagram/Youtube/Pinterest/TikTok等海外主流社媒平台玩法，具备一定的内容创意和营销策划能力。 4. 具备较强执行力和数据分析能力，能够熟练运用数据分析工具，对营销活动效果进行评估和优化。 5. 对跨境电商行业或者海外市场营销有强烈的兴趣和热情，能够持续学习和不断提升自己的专业能力。,本科,1年及以上,电子技术/半导体/集成电路,2026-03-03,2026-05-03,人力/财务/行政
3966,广东顶固集创家居股份有限公司,顶固集创,家具制造业,电商客服,中山,4000.0,6000.0,岗位职责： 1、通过客服系统接待线上咨询客户，解答疑问，引导客户并促使留下个人信息； 2、了解和挖掘客户需求，介绍企业产品的优点和特色，能和客户进行良好的沟通； 3、转化客户录入平台系统，跟进门店及时沟通客户； 客户回访对接，线上定制信息的回访跟进； 4、负责利用各种线上聊天工具对新老客户的开发和维护工作； 岗位要求： 1、大专及以上学历，有电商或网络客服工作经验； 2、普通话标准，熟悉办公软件，有良好的沟通交流与表达能力。 百度搜索,大专,1年及以上,家居/室内设计/装潢,2026-03-02,2026-05-02,销售/市场/客服
3967,乐歌人体工学科技股份有限公司,乐歌股份,家具制造业,助理工艺工程师,北海,5000.0,8000.0,助理装配工艺工程师 岗位职责： 1.开展新品装配工艺指导； 2.编制新品工艺文件（SOP）； 3.编制维护现场装配工时； 4.处理现场技术质量问题，开展车间工艺纪律检查； 5.现场装配工艺的改善和验证。 6.根据返工通知出返工方案。 任职资格： 1.本科学历，机械相关专业（可接受优秀应届毕业生）； 2.熟练办公软件，会应用2D、3D工程软件； 3.具备良好的书面及口头表达能力。,本科,1年及以上,贸易/进出口,2026-02-11,2026-04-11,生产制造/汽车
3968,乐歌人体工学科技股份有限公司,乐歌股份,家具制造业,海外市场推广 (MJ001697),宁波,7000.0,9000.0,"岗位职责： 1.精通熟悉海外消费习惯，对海外营销文案进行内容规划，把控和管理，适用于海外消费者； 2.站外推广，对接红人KOL、KOC，利用油管、ins，google等平台推广产品和店铺，提高品牌声量,提升listing点击率、浏览量,促进转化； 3.产品卖点梳理总结，对核心产品进行卖点包装策划，通过和设计团队沟通，保证营销物料的制作输出，满足项目上市节点的需要； 4.关键营销节日节点策划，对海外互联网电商平台的营销热点有一定敏感度，结合热点包装产品和活动宣传方案； 5.协助新产品上架调研，listing图片设计管理与优化，活动策划，营销推广 任职资格: 1、熟悉海外欧美市场环境，本科以上学历，英语口语流利，新闻编辑、广告、市场营销专业优先 2、良好的策略方案能力、文案撰写能力强，活动策划能力； 3、热爱互联网电商行业，有强烈的工作激情，具有出色的独立思考和较强的执行力。 4. 具有较强的商业敏锐度和经营能力； 5. 具有较强的分析思维和兴趣，能够根据数据优化营销策略； （来 自 ）",本科,1年及以上,贸易/进出口,2026-01-15,2026-03-15,销售/市场/客服
3969,索菲亚家居股份有限公司,索菲亚,家具制造业,视频创作师,嘉兴,8000.0,12000.0,岗位职责： 1、负责视频拍摄工作，包括展厅空间、产品细节、人物采访、客户案例、活动现场等。 2、负责素材剪辑工作，精通运用后期软件完成视频特效、转场、字幕、配乐、调色等制作工作，提高视频整体效果。 3、与运营团队密切配合，共同探讨拍摄剪辑包装的***策略，确保视频符合营销需求。 任职要求： 1、统招大专或以上学历。 2、有3年及以上短视频后期工作经验。 3、熟练掌握剪映等剪辑软件，思路清晰，把握剪辑技巧和剪辑重点。。,大专,3年及以上,家具/家电/玩具/礼品,2026-01-16,2026-03-16,互联网/软硬件技术
3970,索菲亚家居股份有限公司,索菲亚,家具制造业,电销客服专员,广州,5000.0,10000.0,【岗位职责】 1、运用电话营销技巧了解并确认潜在客户的全屋定制需求及家居意向，挖掘客户痛点并提供初步解决方案； 2、负责邀约意向客户到店体验及完成上门测量，系统化跟进客户进度并完成客户意向分类，协同其他部门以及终端门店完成意向客户跟进； 3、完成日均外呼及邀约指标，增强客户对索菲亚品牌认可与满意度，对邀约转化结果负责。 【任职要求】 1、大专及以上学历，1年以上电话销售或客服经验，有家居、装修、定制类行业经验者优先； 2、表达清晰、沟通能力强，具备良好的客户服务意识和销售敏感度； 3、熟练使用Office办公软件，普通话标准，具备基础数据分析能力者更佳； 4、结果导向，抗压能力强，能适应高目标、快节奏的工作环境； 5、具备团队协作精神，愿意深入学习家居产品知识与销售流程。,大专,1年及以上,家具/家电/玩具/礼品,2026-02-10,2026-04-10,销售/市场/客服
3971,深圳市美之高科技股份有限公司,美之高,家具制造业,室内设计实习生,深圳,2500.0,3500.0,技能要求: 1.深圳院校（***），设计学类专业大三大四的学生，本科。 2.三维家，酷家乐全屋定制，家具设计，家居设计，衣柜柜设计，金属衣帽间定制设计 岗位职责: 1、协助尺寸进行定制衣帽间的出图、承诺方案完成时间; 2、协助客户的要求及房屋的空间结构进行合理的空间布局以及色彩搭配设计; 3、协助辅助销售人员完成客户的平面结构图及相关效果图的绘制; 4、协助销售与客户确认方案，进行方案设计;,本科,经验不限,家具/家电/玩具/礼品,2026-01-05,2026-03-05,医疗/能源/环保/农业
3972,永艺家具股份有限公司,永艺股份,家具制造业,26届管培生-物流管理方向（湖北省）,湖州,7000.0,8000.0,物流管培生（PMC/采购）： 一、【任职要求】 1、本科及以上学历，物流管理类、统计类相关专业。 2、专业知识扎实，熟练操作办公软件，英语四级以上。 3、良好的沟通表达能力，较强的逻辑思维能力，有一定的综合分析和数据分析能力。 4、高度的工作热情和团队合作意识，抗压能力佳，有明确的职业规划，能够长期在制造业发展。。,本科,经验不限,家具/家电/玩具/礼品,2026-02-10,2026-04-10,人力/财务/行政
3973,欧派家居集团股份有限公司,欧派家居,家具制造业,产品企划主管,广州,15000.0,20000.0,1、用户研究、生活方式研究，并开展行业市场调研，包含展会、市场、终端、各类渠道调研，并输出调研分析报告，为产品平台化、专业化规划提供市场及用户研究支撑。 2、编制年度门墙类产品平台化开发规划，形成年度开发规划报告。 3、对产品各类数据进行分析总结，搭建产品生命周期管理的数据支撑平台。 4、对年度各个渠道产品、材料的开发及淘汰进行把控与审核，形成各渠道产品矩阵。 任职要求： 1、5年或以上家居类公司规划、策划或市场调研类工作经验，具有一定的组织、协调能力。 2、精通定制家居或木门墙板类产品的开发流程。 3、具有敏锐的市场洞察能力、优秀的方案能力和审美能力。 4、熟悉定制家居产品的上游材料体系和生产加工工艺。 5、精通定制家居产品的全生命周期管理。,本科,5年及以上,家具/家电/玩具/礼品,2026-02-09,2026-04-09,销售/市场/客服
3974,永艺家具股份有限公司,永艺股份,家具制造业,26届管培生-外销业务方向（浙江省）,湖州,10000.0,20000.0,一、【任职要求】 1、本科及以上学历，英语、日语、俄语、德语、西班牙语等专业。 2、专业知识扎实，熟练操作办公软件，英语四级以上。 3、良好的沟通表达能力，较强的逻辑思维能力，有一定的综合分析和总结能力。 4、高度的工作热情和团队合作意识，抗压能力佳，有明确的职业规划，能够长期在制造业发展。,本科,经验不限,家具/家电/玩具/礼品,2026-02-10,2026-04-10,人力/财务/行政
3975,乐歌人体工学科技股份有限公司,乐歌股份,家具制造业,SQE工程师（电机）,宁波,7000.0,13000.0,岗位职责： 1、供应商质量审核与管理：对电机供应商进行审核、评估，确保其质量管理体系和生产流程符合要求。 2、物料质量控制：负责入厂电机零部件的质量检验、不合格品分析和处理。 3、质量标准制定：协助制定和优化供应商的质量标准和检验规范。 4、问题解决：处理供应商交付的电机产品或零部件的质量问题，协调解决技术难题。 5、体系优化：推动持续改进，提升整体供应链的质量水平。 任职要求: 1、学历背景：本科及以上学历，工科类专业（如电机、电气、机械、自动化、电子等）优先。 2、专业技能：对电机、电子、机械原理有较深理解，熟悉质量管理工具和方法。 3、经验要求：有相关领域的3-5年工作经验，智能家具行业优先。,本科,5年及以上,贸易/进出口,2026-01-29,2026-03-29,生产制造/汽车
3976,永艺家具股份有限公司,永艺股份,家具制造业,26届管培生-物流管理方向（江西省）,湖州,7000.0,8000.0,物流管培生（PMC/采购）： 一、【任职要求】 1、本科及以上学历，物流管理类、统计类相关专业。 2、专业知识扎实，熟练操作办公软件，英语四级以上。 3、良好的沟通表达能力，较强的逻辑思维能力，有一定的综合分析和数据分析能力。 4、高度的工作热情和团队合作意识，抗压能力佳，有明确的职业规划，能够长期在制造业发展。 来自,本科,经验不限,家具/家电/玩具/礼品,2026-02-10,2026-04-10,人力/财务/行政
3977,恒林家居股份有限公司,恒林股份,家具制造业,成品检验,湖州,4500.0,6000.0,工作内容： 1、负责对公司生产完成的成品进行质量检查与验收； 2、 按照公司质量标准和检验流程对产品进行抽样或全检； 3、 记录检验结果，及时反馈质量问题并协助分析原因； 4、 协助维护检验设备及工具，确保其正常运作。 任职要求 1、 具备良好的责任心和细致的工作态度； 2、能够按照标准流程进行操作，具备基本的质量意识； 3、 有团队合作精神，能适应一定的工作强度。,高中,经验不限,家具/家电/玩具/礼品,2026-03-04,2026-05-04,销售/市场/客服
3978,欧派家居集团股份有限公司,欧派家居,家具制造业,拎包专员（楼盘驻点 上市集团 五险一金）,广州,10000.0,15000.0,搜索 。岗位职责： 1、负责店面及活动现场的客户引流接待； 2、对展示产品及服务流程进行讲解，根据客户需求拟定定制方案并做初步预算，为客户满意负责； 3、建立客户信息档案，签订合同及合同跟进； 4、协助店长全面完成店面日常运营，达成销售目标； 任职要求： 1、22-35周岁，专业不限； 2、1年以上销售工作经验，有家居建材行业店面销售经验者优先； 3、沟通表达能力强，亲和力佳，良好的客户服务意识和团队合作意识，反应敏捷； 岗位福利： 1、节假日购物卡（华润、永旺等购物卡）； 2、年终奖、工龄奖，年底15天假期，部门团建； 3、享受带薪婚假、丧假、病假等； 4、五险一金齐全外加欧派平安基金； 5、年度免费体检。,学历不限,1年及以上,家具/家电/玩具/礼品,2026-01-07,2026-03-07,销售/市场/客服
3979,嘉兴米兰映像家具有限公司,喜临门,家具制造业,工厂HRBP,嘉兴,15000.0,18000.0,此岗位归属喜临门旗下高端沙发品牌Milano&amp;Design（嘉兴米兰映像） 工厂HRBP 岗位职责： 1.负责工厂人力资源整体运营工作（招聘、培训、绩效、薪酬、员工关系） 2.根据生产计划制定用工方案，招聘管理与供应商对接，保障人力投入满足业务要求。支持生产运营 3.处理劳动争议及合规事务 4.推动企业文化建设与团队稳定，营造良好的组织氛围 任职资格： 1.本科及以上学历，3～5年制造业HR相关经验 2.具备制造业工厂人事管理经验（必须是供应链或者是工厂端），如是家居、家电行业是加分项 3.熟悉生产型企业蓝领员工管理及各项劳动人事法规 4.具备较强的沟通协调能力与抗压能力，有较强的责任心和主动性，持续改进。,本科,5年及以上,家具/家电/玩具/礼品,2026-03-02,2026-05-02,销售/市场/客服
3980,佛山维尚家具制造有限公司,尚品宅配,家具制造业,家具新品研发设计师,佛山,15000.0,20000.0,任职要求： 具备至少5年以上的全屋定制家具开发经验，有成功操盘大型定制企业产品开发的经验者优先。 专业能力： 1、对产品外观设计，风格定位，创新元素有独到的理解和转化落地能力。 2、要充分结合公司现有制造优势和信息化优势做产品开发规划 3、开发具有市场竞争力产品的同时要兼顾成本管控，例如材料利用率，一次良品率等 沟通与团队协作：具备良好的沟通能力和团队协作精神，能够与不同部门有效合作，推动项目顺利进行。 岗位福利： 1、入职即缴纳五险一金，依托上市公司平台。 2、提供免费住宿与餐补，待遇构成透明。 3、除基本薪资外，设有季度奖与年终奖激励，工作执行大小周排班，依法享有带薪年假， 来自马-克-数-据,本科,5年及以上,家具/家电/玩具/礼品,2026-02-26,2026-04-26,生产制造/汽车
3981,欧派家居集团股份有限公司,欧派家居,家具制造业,净水器产品开发工程师,广州,9167.0,10833.0,工作内容： 一、电商新品项目管理 1、对接电商项目需求，明确项目要求。 2、推动项目正常开展，过程资源、进度、节点完成的跟进。 二、电商新产品开发 1、掌握百货配件相关产品的市场动态，搜集并了解相关产品的销售状况，在项目需求过程中提供必要的专业分析意见和开发思路。 2、根据电商项目需求，按照电商产品开发流程，主导相关项目的选品、产品评审、检测鉴定、问题改进、试制、量产、完成上市等相关工作； 三、信息系统标准化管理 1、 负责对现有产品导入PLM系统的组织和审查。 2、 负责建立PLM系统的标准化表格、报告资料。 3、 负责维护PLM系统。 4、 负责维护K3系统。 四、制订所辖产品相关技术标准并监督实施 1、制订所辖电商产品相关的电产品设计标准，并有效控制产品按照相关标准要求执行。 2、负责电商百货配件产品的技术管理，严格按要求组织开展产品的各项技术管理工作。 任职要求： 1、本科以上学历，机械、模具、工业设计等相关专业； 2、2年以上产品开发工作经验，家电或五金行业的从业经验； 3、有净水器产品开发经验优先； 4、具备一定的产品营销理念及抗压能力； 5、 有良好的谈判能力、演讲表达能力； 6、熟练操作办公、多种制图 （CAD SOLIDWORKS 、PROE）软件。,本科,2年及以上,家具/家电/玩具/礼品,2026-02-05,2026-04-05,销售/市场/客服
3982,索菲亚家居股份有限公司,索菲亚,家具制造业,深化设计师,广州,8000.0,15000.0,具体职责 1.负责海外工程项目的设计工作，包括工程项目报价、画图、下单等。 2.协助销售负责进行项目的工艺交底，物料打样和订单上传，以及后续的计料沟通，试装验货。 3.协助销售处理订单售后，包括安装指导、改补单等。 4.配合销售工作，为客户提供专业的设计建议、成本优化、工艺优化等。 任职条件 1. 大专以上学历，3年以上定制行业设计经验。 2. 熟悉操作AUTOCAD制图熟练，精通三维家酷家乐等主流设计软件并精通效果图，要求熟知全屋定制产品知识，掌握订单流程较强的解决问题思维 3. 知道如何提供设计最优解，知道材料特性，成本概念，跟进细心负责。 4. 强大的学习能力，耐心，并善于与人沟通；。 5. 接受加班。,大专,3年及以上,家具/家电/玩具/礼品,2026-02-27,2026-04-27,销售/市场/客服
3983,慕思健康睡眠股份有限公司,慕思股份,家具制造业,销售总监,东莞,40000.0,60000.0,职责描述： 1、参与事业部经营战略、市场营销策略的制定，执行营销策略并对全国市场的营销活动进行策划； 2、编制零售渠道年度、月度营销工作计划，包括销售目标、销售体系建设与管理、关键客户管理、渠道拓展政策、促销方案等； 3、分解并完成下达的各区域的月、季、年度的市场销售目标； 4、负责零售渠道全国销售目标完成情况的跟踪、统计、分析工作，及时调整销售策略和计划； 5、负责零售渠道全国经销商帮扶政策、店面管理政策的制定、宣导、监督执行工作； 6、负责与经销商之间的关系衔接，处理辖区内产品投诉、业务渠道投诉的协调 任职要求： 1、本科及以上，企业管理、工商管理、市场营销等相关专业 2、至少8年以上市场运营、销售板块的经验，有头部家电行业经验的优先考虑 ，且管理零售门店数量不少于300家，业绩规模不少于3亿。 3、精通家具/家电的市场营销运作经验，具备大区经营策略及丰富的市场操作能力，独立的市场开拓能力及业务公关能力。,本科,8年及以上,家具/家电/玩具/礼品,2026-01-14,2026-03-14,销售/市场/客服
3984,索菲亚家居股份有限公司,索菲亚,家具制造业,产品开发工程师（软装）,广州,8000.0,11000.0,岗位职责： 1. 负责软装产品线规划，制定中长期战略与路线图，明确各季度主推品类、风格及主题（如“春夏森系”“侘寂风”等）。 2. 基于市场与用户洞察，提出新产品创意概念，撰写产品需求文档，提炼核心功能、使用场景及独特卖点（如可拆洗、高遮光率、抗菌面料等）。 3. 管理窗帘、地毯、靠垫等所辖软装品类，规划产品宽度与深度，保障产品组合完整、协调且具市场竞争力；核算成本并优化设计，结合成本、竞争及品牌定位确定定价策略；制作销售工具并为销售、客服团队提供产品培训。 4. 整合、储备与开发软装供应商资源，优化供应商体系，实施主动降本，考核供应商并维护合作关系，保障供应链竞争力。 任职要求： 1. 学历经验：本科及以上学历，3年以上软装产品开发经验。 2. 专业能力：对家居设计潮流、色彩、材质及生活方式敏感度高，审美能力强；熟悉产品设计开发流程，有设计功底与独特创意见解；具备项目管理能力，可同时推进多个产品项目并推动跨部门协作。 3. 综合技能：有成本、利润、市场定位等商业意识；具备市场分析、营销推广能力及人际沟通、协调能力；熟练使用Office、PS/AI软件；有责任心，具备抗压能力、问题解决能力及商务谈判能力。,本科,3年及以上,家具/家电/玩具/礼品,2026-01-27,2026-03-27,销售/市场/客服
